person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22.0,59000,RENT,14.5,PERSONAL,D,23125,16.02,1,0.5932203389830508,Y,3
21.0,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1041666666666666,N,2
25.0,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.5729166666666666,N,3
23.0,65500,RENT,4.0,MEDICAL,C,23125,15.23,1,0.5343511450381679,N,2
24.0,54400,RENT,8.0,MEDICAL,C,23125,14.27,1,0.6433823529411765,Y,4
21.0,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.2525252525252525,N,2
26.0,77100,RENT,8.0,EDUCATION,B,23125,12.42,1,0.4539559014267185,N,3
24.0,78956,RENT,5.0,MEDICAL,B,23125,11.11,1,0.443284867521151,N,4
24.0,83000,RENT,8.0,PERSONAL,A,23125,8.9,1,0.4216867469879518,N,2
21.0,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3
22.0,85000,RENT,6.0,VENTURE,B,23125,10.37,1,0.4117647058823529,N,4
21.0,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2
23.0,95000,RENT,2.0,VENTURE,A,23125,7.9,1,0.3684210526315789,N,2
26.0,108160,RENT,4.0,EDUCATION,E,23125,18.39,1,0.323594674556213,N,4
23.0,115000,RENT,2.0,EDUCATION,A,23125,7.9,0,0.3043478260869565,N,4
23.0,140250,MORTGAGE,7.0,DEBTCONSOLIDATION,B,23125,10.65,0,0.06,N,3
23.0,120000,RENT,0.0,EDUCATION,A,23125,7.9,0,0.2916666666666667,N,4
23.0,92111,RENT,7.0,MEDICAL,F,23125,20.25,1,0.3799763329026935,N,4
23.0,113000,RENT,8.0,DEBTCONSOLIDATION,D,23125,18.25,1,0.31,N,4
24.0,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.162037037037037,N,2
25.0,140250,RENT,2.0,VENTURE,A,23125,7.49,0,0.2153846153846154,N,4
25.0,137000,RENT,9.0,PERSONAL,E,23125,16.77,0,0.2540145985401459,Y,2
22.0,65000,RENT,4.0,EDUCATION,D,23125,17.58,1,0.5230769230769231,N,4
24.0,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.1366120218579235,N,3
22.0,80000,RENT,3.0,PERSONAL,D,23125,14.54,1,0.424375,Y,4
24.0,67746,RENT,8.0,HOMEIMPROVEMENT,C,23125,12.68,1,0.4871136303250376,N,3
21.0,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.4159090909090909,Y,3
23.0,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.1272727272727272,N,3
24.0,65000,RENT,6.0,HOMEIMPROVEMENT,B,23125,9.99,1,0.5,N,3
21.0,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.3512160856967249,Y,2
21.0,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.1736111111111111,N,3
25.0,120000,RENT,2.0,VENTURE,A,23125,6.62,0,0.2666666666666666,N,2
26.0,95000,RENT,7.0,HOMEIMPROVEMENT,C,23125,14.17,1,0.3268421052631579,Y,3
25.0,140250,RENT,2.0,DEBTCONSOLIDATION,C,23125,13.85,0,0.08,N,3
26.0,140250,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.026,N,4
21.0,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.2083333333333333,N,4
22.0,48000,RENT,1.0,EDUCATION,E,23125,18.39,1,0.625,N,2
24.0,64000,RENT,8.0,DEBTCONSOLIDATION,D,23125,14.54,1,0.46875,Y,3
25.0,75000,RENT,4.0,HOMEIMPROVEMENT,D,23125,16.89,1,0.4,Y,4
23.0,71500,RENT,3.0,DEBTCONSOLIDATION,D,23125,10.99,1,0.42,N,4
26.0,62050,RENT,6.0,MEDICAL,E,23125,17.99,1,0.48348106365834,N,2
24.0,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.2083333333333333,N,3
26.0,140250,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.0666666666666666,N,4
23.0,140250,OWN,1.0,EDUCATION,F,23125,19.41,0,0.08,Y,2
26.0,140250,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.0333333333333333,N,4
26.0,140250,MORTGAGE,0.0,EDUCATION,D,23125,15.33,0,0.0833333333333333,N,3
25.0,140250,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3
26.0,80690,RENT,8.0,PERSONAL,A,23125,7.49,1,0.3717932829346883,N,3
22.0,66300,RENT,4.0,MEDICAL,B,23125,12.69,1,0.4524886877828054,N,3
26.0,89028,RENT,0.0,DEBTCONSOLIDATION,A,23125,6.62,1,0.3369726378218088,N,3
24.0,78000,RENT,4.0,DEBTCONSOLIDATION,D,23125,10.99,1,0.3846153846153846,Y,4
23.0,78000,RENT,7.0,DEBTCONSOLIDATION,F,23125,18.62,1,0.3846153846153846,Y,3
23.0,92004,RENT,6.0,PERSONAL,C,23125,15.23,1,0.3260727794443719,Y,3
23.0,97000,RENT,7.0,VENTURE,B,23125,10.65,1,0.31,N,2
25.0,120000,RENT,9.0,EDUCATION,A,23125,7.9,0,0.25,N,4
26.0,140250,RENT,4.0,PERSONAL,C,10000,15.96,0,0.0357142857142857,Y,3
