loan_grade_encoded,person_home_ownership_RENT,loan_percent_income,person_home_ownership_OWN,risk_group_GradeA_NoDefault,loan_intent_VENTURE,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_DEBTCONSOLIDATION,person_income_log,loan_amnt_quartile_Q1,person_emp_length_group_0-1,person_home_ownership_MORTGAGE,person_age,risk_group_GradeB_NoDefault,loan_intent_EDUCATION,person_age_group_35-40,age_income_interaction_20-25_medium,stability_score,age_income_interaction_40+_medium,age_income_interaction_25-30_medium,loan_percent_income_tier_medium,loan_amnt_quartile_Q3,loan_amnt_quartile_Q2,person_emp_length_group_>10,age_income_interaction_30-35_medium,age_income_interaction_25-30_low,cb_person_cred_hist_length_group_5-10,person_age_group_25-30,risk_group_GradeC_Default
2.0,0.0,-0.6552718580699285,0.0,0.0,1.0,0.0,0.0,0.0,1.4899033336696788,0.0,0.0,1.0,0.3013780667730298,0.0,0.0,0.0,0.0,0.527316544611278,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4.0,1.0,1.005558472414964,0.0,0.0,0.0,0.0,0.0,0.0,-1.4727249797891604,0.0,1.0,0.0,1.4464998197001575,0.0,0.0,1.0,0.0,-0.754950831472952,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,-0.3373938025019738,0.0,1.0,0.0,0.0,0.0,0.0,1.0858920504030614,0.0,0.0,1.0,1.8282070706758669,0.0,0.0,1.0,0.0,4.177853258157199,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0445289667773257,0.0,0.0,0.0,0.0,1.0,0.0,-1.141749685851874,1.0,0.0,1.0,-1.0345973116419525,1.0,0.0,0.0,0.0,-0.4409261679421202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,-0.4297711881980579,0.0,0.0,0.0,1.0,0.0,0.0,0.5333149104116162,0.0,0.0,0.0,-0.4620364351783886,1.0,0.0,0.0,0.0,-0.6502759436293414,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.7460537332766994,0.0,1.0,0.0,0.0,0.0,0.0,-0.5956383125674451,0.0,0.0,1.0,0.1105244412851752,0.0,0.0,0.0,0.0,0.5011478226503753,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.0,1.0,-0.8583625234824833,0.0,1.0,0.0,1.0,0.0,0.0,1.4091101001144126,0.0,0.0,0.0,-0.4620364351783886,0.0,0.0,0.0,0.0,-0.5979384997075361,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,1.0,0.6209353769064642,0.0,0.0,0.0,0.0,0.0,0.0,-1.2727192058988313,0.0,0.0,0.0,-0.271182809690534,0.0,1.0,0.0,0.0,-0.3362512800985096,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,1.0,-0.7369766353334355,0.0,0.0,0.0,0.0,0.0,0.0,0.0016991782254873,1.0,0.0,0.0,-0.0803291842026793,0.0,1.0,0.0,0.0,-0.2315763922548989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,-0.4684284458903782,0.0,1.0,0.0,0.0,0.0,1.0,0.4666995152127853,0.0,0.0,1.0,-1.0345973116419525,0.0,0.0,0.0,1.0,-0.1269015044112883,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.675279713511718,0.0,0.0,0.0,0.0,1.0,0.0,-1.384416173191816,0.0,0.0,0.0,-0.6528900606662432,1.0,0.0,0.0,0.0,-0.5979384997075361,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,-1.0510973439920286,0.0,0.0,0.0,0.0,0.0,0.0,0.8741803714577315,1.0,0.0,1.0,2.0190606961637214,0.0,0.0,1.0,0.0,0.5011478226503753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.3892347169615853,0.0,0.0,1.0,0.0,0.0,0.0,0.5201775269118895,0.0,0.0,1.0,-0.0803291842026793,0.0,0.0,0.0,0.0,0.2917980469631541,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2.0,1.0,0.4541109017461519,0.0,0.0,1.0,0.0,0.0,0.0,1.7859230946814435,0.0,0.0,0.0,0.3013780667730298,0.0,0.0,0.0,0.0,0.0824482712759328,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,1.0,-0.5618501519801533,0.0,0.0,1.0,0.0,0.0,0.0,0.0087538835899437,0.0,0.0,0.0,-1.0345973116419525,1.0,0.0,0.0,1.0,-0.4409261679421202,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.5756099381484152,0.0,0.0,0.0,0.0,1.0,0.0,0.3113581256989239,0.0,0.0,1.0,-0.8437436861540979,1.0,0.0,0.0,1.0,-0.4409261679421202,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.6691198713562887,0.0,1.0,0.0,0.0,0.0,0.0,-0.1859472995370103,0.0,0.0,1.0,-0.8437436861540979,0.0,0.0,0.0,1.0,-0.2839138361767043,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,2.026835187733295,0.0,0.0,1.0,0.0,0.0,0.0,-1.079504490951262,0.0,0.0,1.0,0.4922316922608845,0.0,0.0,0.0,0.0,-0.0483953385285804,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
